mechanism_id,paper_expectation,simulator_behavior,code_location,test_artifact_evidence,status,required_fix_or_claim_boundary
vertical_transmission_delay,Vertical offload delay includes EA-to-cloud transmission delay.,Vertical candidates in the MLEO and policy traces expose transmission_delay and total_delay components.,src/policies/mleo.py; src/analysis/hoodie_runtime_evaluation_runner/policies.py,tests/unit/test_mleo_latency_evidence.py; artifacts/feature_085_full_audit/raw_rows.json,exact,No additional repair required for the evidence layer.
remote_cloud_execution_delay,Remote/cloud execution delay contributes to total delay for vertical offload.,Cloud-bearing candidates carry compute_delay and total_delay evidence in the MLEO trace and runtime rows.,src/policies/mleo.py; src/analysis/hoodie_runtime_evaluation_runner/policies.py; src/analysis/hoodie_runtime_evaluation_runner/model.py,tests/unit/test_mleo_latency_evidence.py; artifacts/feature_085_full_audit/raw_rows.json,approximate_documented,"The remote compute term is evidence-backed, not a separate cloud runtime service."
waiting_time_completion_time,Waiting time and completion time are explicit parts of task latency accounting.,"Runtime rows capture arrival_time, completion_time, delay, and queue_length_observations.",src/analysis/hoodie_runtime_evaluation_runner/model.py; src/analysis/hoodie_runtime_evaluation_runner/runner.py,artifacts/feature_085_full_audit/raw_rows.json; artifacts/feature_085_full_audit/aggregate_by_policy.csv,approximate_documented,"Completion timing is represented in the audit layer, not as a full event simulator."
timeout_drop_unavailability_behavior,"Timeout, drop, and unavailability are reflected in output outcomes.","Runtime rows and aggregate metrics include dropped_timeout, dropped_unavailable, and illegal_action_rejected flags.",src/analysis/hoodie_runtime_evaluation_runner/model.py; src/analysis/hoodie_runtime_evaluation_runner/metrics.py,artifacts/feature_085_full_audit/raw_rows.json; tests/unit/test_hoodie_runtime_evaluation_runner_metrics.py,approximate_documented,The audit tracks these outcomes explicitly; it does not claim a full event-level simulator.
hybrid_action_model,"Local, horizontal, and vertical actions exist as a hybrid offloading action space.","Active policies expose local, horizontal, and vertical families and the runtime policy set is the paper set.",src/analysis/hoodie_runtime_evaluation_runner/policies.py; src/analysis/hoodie_runtime_evaluation_runner/config.py,tests/unit/test_hoodie_runtime_evaluation_runner_policies.py::test_required_policy_set_matches_feature_085,exact,No repair required; the hybrid action contract is already active.
two_stage_decision_boundary,Local-vs-offload and destination selection are distinct or are clearly documented when collapsed.,The runtime policy adapters operate as a documented single-stage approximation over legal candidate actions.,src/analysis/hoodie_runtime_evaluation_runner/policies.py; src/policies/mleo.py,tests/unit/test_hoodie_runtime_evaluation_runner_policies.py; tests/unit/test_mleo_latency_evidence.py,approximate_documented,Document the single-stage runtime approximation instead of pretending the training-stage boundary is reproduced.
hoodie_claim_boundary,HOODIE remains the proposed method boundary and is not renamed or expanded into a thesis/DCQ method.,Feature 085/086 artifacts keep HOODIE as the proposed method boundary and do not introduce an alternate method claim.,specs/086-mleo-latency-evidence-test/spec.md; specs/086-mleo-latency-evidence-test/quickstart.md; src/analysis/hoodie_runtime_evaluation_runner/report.py,tests/integration/test_hoodie_runtime_evaluation_runner_report.py; artifacts/feature_085_full_audit/feature_085_audit_report.md,exact,No thesis/DCQ/custom-method claim is allowed.
official_paper_baselines,"Only RO, FLC, VO, HO, BCO, and MLEO are active baselines.",The runtime evaluation policy registry exposes exactly the paper baselines plus HOODIE.,src/analysis/hoodie_runtime_evaluation_runner/config.py; src/analysis/hoodie_runtime_evaluation_runner/policies.py,tests/unit/test_hoodie_runtime_evaluation_runner_policies.py::test_required_policy_set_matches_feature_085,exact,No legacy active labels remain in the 086 outputs.
mleo_min_total_latency,"MLEO selects the legal candidate with minimum estimated total latency, not queue length only.",The candidate trace test proves MLEO chooses the minimum total_delay candidate when queue-length minimum is different.,src/policies/mleo.py; src/analysis/hoodie_runtime_evaluation_runner/policies.py,tests/unit/test_mleo_latency_evidence.py::test_mleo_selects_minimum_total_delay_not_minimum_queue_length,exact,No repair required for the evidence layer; keep the numeric proof.
reward_cost_boundary,Reward/cost equations remain inside the paper’s comparison boundary and are not overclaimed.,"The runtime audit reports reward, delay, and drop outcomes with explicit claim-boundary text.",src/analysis/hoodie_runtime_evaluation_runner/metrics.py; src/analysis/hoodie_runtime_evaluation_runner/report.py; resources/papers/hoodie/ocr/merged.txt,tests/unit/test_hoodie_runtime_evaluation_runner_metrics.py; artifacts/feature_085_full_audit/feature_085_audit_report.md,approximate_documented,Do not claim a trained end-to-end reward model; keep the boundary conservative.
output_metrics_readiness,Metrics are classified so that paper-headline comparison and repository diagnostics are not conflated.,"The metric readiness matrix classifies primary, secondary, and diagnostic metrics explicitly.",specs/086-mleo-latency-evidence-test/metric-readiness-matrix.md; src/analysis/hoodie_system_model_fidelity_gate/report.py,tests/unit/test_hoodie_system_model_fidelity_gate.py,exact,Do not promote repository diagnostics to paper headline metrics.
