metric,rank,policy,value,direction,tie_break_trace
queue_stability_score,7,HO,0.17937041032955262,higher_is_better,"[""queue_stability_score=0.17937041032955262"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
task_completion_delay,1,HOODIE,4.902286902286902,lower_is_better,"[""task_completion_delay=4.902286902286902"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
task_completion_delay,2,MLEO,4.902286902286902,lower_is_better,"[""task_completion_delay=4.902286902286902"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
task_completion_delay,3,VO,5.04384133611691,lower_is_better,"[""task_completion_delay=5.04384133611691"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
task_completion_delay,4,FLC,5.186582809224318,lower_is_better,"[""task_completion_delay=5.186582809224318"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
task_completion_delay,5,BCO,5.2967032967032965,lower_is_better,"[""task_completion_delay=5.2967032967032965"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
task_completion_delay,6,RO,5.325239146431199,lower_is_better,"[""task_completion_delay=5.325239146431199"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
task_completion_delay,7,HO,5.834170854271357,lower_is_better,"[""task_completion_delay=5.834170854271357"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
task_drop_ratio,1,HOODIE,0.04563492063492063,lower_is_better,"[""task_drop_ratio=0.04563492063492063"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
task_drop_ratio,2,MLEO,0.04563492063492063,lower_is_better,"[""task_drop_ratio=0.04563492063492063"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
task_drop_ratio,3,VO,0.0496031746031746,lower_is_better,"[""task_drop_ratio=0.0496031746031746"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
task_drop_ratio,4,FLC,0.05357142857142857,lower_is_better,"[""task_drop_ratio=0.05357142857142857"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
task_drop_ratio,5,BCO,0.09722222222222222,lower_is_better,"[""task_drop_ratio=0.09722222222222222"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
task_drop_ratio,6,RO,0.10119047619047619,lower_is_better,"[""task_drop_ratio=0.10119047619047619"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
task_drop_ratio,7,HO,0.21031746031746032,lower_is_better,"[""task_drop_ratio=0.21031746031746032"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
throughput,1,HOODIE,0.9543650793650794,higher_is_better,"[""throughput=0.9543650793650794"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
throughput,2,MLEO,0.9543650793650794,higher_is_better,"[""throughput=0.9543650793650794"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
throughput,3,VO,0.9503968253968254,higher_is_better,"[""throughput=0.9503968253968254"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
throughput,4,FLC,0.9464285714285714,higher_is_better,"[""throughput=0.9464285714285714"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
throughput,5,BCO,0.9027777777777778,higher_is_better,"[""throughput=0.9027777777777778"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
throughput,6,RO,0.8988095238095238,higher_is_better,"[""throughput=0.8988095238095238"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
throughput,7,HO,0.7896825396825397,higher_is_better,"[""throughput=0.7896825396825397"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
timeout_drop_rate,1,HOODIE,0.04563492063492063,lower_is_better,"[""timeout_drop_rate=0.04563492063492063"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
timeout_drop_rate,2,MLEO,0.04563492063492063,lower_is_better,"[""timeout_drop_rate=0.04563492063492063"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
timeout_drop_rate,3,VO,0.0496031746031746,lower_is_better,"[""timeout_drop_rate=0.0496031746031746"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
timeout_drop_rate,4,FLC,0.05357142857142857,lower_is_better,"[""timeout_drop_rate=0.05357142857142857"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
timeout_drop_rate,5,BCO,0.05555555555555555,lower_is_better,"[""timeout_drop_rate=0.05555555555555555"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
timeout_drop_rate,6,RO,0.05555555555555555,lower_is_better,"[""timeout_drop_rate=0.05555555555555555"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
timeout_drop_rate,7,HO,0.06746031746031746,lower_is_better,"[""timeout_drop_rate=0.06746031746031746"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
total_reward,1,HOODIE,-9834.0,higher_is_better,"[""total_reward=-9834.0"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
total_reward,2,MLEO,-9834.0,higher_is_better,"[""total_reward=-9834.0"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
total_reward,3,VO,-10248.0,higher_is_better,"[""total_reward=-10248.0"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
total_reward,4,FLC,-10662.0,higher_is_better,"[""total_reward=-10662.0"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
total_reward,5,BCO,-13110.0,higher_is_better,"[""total_reward=-13110.0"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
total_reward,6,RO,-13357.0,higher_is_better,"[""total_reward=-13357.0"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
total_reward,7,HO,-19686.0,higher_is_better,"[""total_reward=-19686.0"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
unavailable_drop_rate,1,HOODIE,0.0,lower_is_better,"[""unavailable_drop_rate=0.0"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=HOODIE""]"
unavailable_drop_rate,2,MLEO,0.0,lower_is_better,"[""unavailable_drop_rate=0.0"", ""task_completion_delay=4.902286902286902"", ""deadline_violation_rate=0.08333333333333333"", ""timeout_drop_rate=0.04563492063492063"", ""policy=MLEO""]"
unavailable_drop_rate,3,VO,0.0,lower_is_better,"[""unavailable_drop_rate=0.0"", ""task_completion_delay=5.04384133611691"", ""deadline_violation_rate=0.10317460317460317"", ""timeout_drop_rate=0.0496031746031746"", ""policy=VO""]"
unavailable_drop_rate,4,FLC,0.0,lower_is_better,"[""unavailable_drop_rate=0.0"", ""task_completion_delay=5.186582809224318"", ""deadline_violation_rate=0.12301587301587301"", ""timeout_drop_rate=0.05357142857142857"", ""policy=FLC""]"
unavailable_drop_rate,5,BCO,0.041666666666666664,lower_is_better,"[""unavailable_drop_rate=0.041666666666666664"", ""task_completion_delay=5.2967032967032965"", ""deadline_violation_rate=0.13095238095238096"", ""timeout_drop_rate=0.05555555555555555"", ""policy=BCO""]"
unavailable_drop_rate,6,RO,0.04563492063492063,lower_is_better,"[""unavailable_drop_rate=0.04563492063492063"", ""task_completion_delay=5.325239146431199"", ""deadline_violation_rate=0.13293650793650794"", ""timeout_drop_rate=0.05555555555555555"", ""policy=RO""]"
unavailable_drop_rate,7,HO,0.14285714285714285,lower_is_better,"[""unavailable_drop_rate=0.14285714285714285"", ""task_completion_delay=5.834170854271357"", ""deadline_violation_rate=0.17063492063492064"", ""timeout_drop_rate=0.06746031746031746"", ""policy=HO""]"
